App;4;8;16;24;32;48;64;80;96;128;256;512
bt.A.x;598259,0;642571,0;574972,0;199517,0;158705,0;22117,0;1,0;0,0;0,0;0,0;0,0;0,0
bt.W.x;513767,0;192209,0;165051,0;135140,0;15855,0;10344,0;0,0;0,0;0,0;0,0;0,0;0,0
cg.A.x;676377,0;929939,0;738469,0;36614,0;7883,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0
cg.W.x;570356,0;901804,0;515144,0;22279,0;76,0;45,0;0,0;0,0;0,0;0,0;0,0;0,0
ep.A.x;63697,0;8181,0;50080,0;8689,0;10473,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0
ep.W.x;63697,0;8181,0;50080,0;8689,0;10473,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0
ft.A.x;101951,0;476850,0;724649,0;981241,0;114760,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ft.W.x;26524,0;180311,0;328888,0;93769,0;5172,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0
is.A.x;11,0;4765,0;509153,0;465825,0;213876,0;231,0;0,0;0,0;0,0;0,0;0,0;0,0
is.W.x;654,0;45875,0;163711,0;104282,0;12671,0;81,0;0,0;0,0;0,0;0,0;0,0;0,0
lu.A.x;515597,0;341726,0;245429,0;135614,0;149526,0;22493,0;27,0;0,0;0,0;0,0;0,0;0,0
lu.W.x;576240,0;405015,0;263547,0;231465,0;161780,0;6832,0;11,0;0,0;0,0;0,0;0,0;0,0
mg.A.x;268060,0;355760,0;330152,0;5806,0;132,0;2,0;69,0;0,0;0,0;0,0;0,0;0,0
mg.W.x;345770,0;363946,0;554377,0;161326,0;226120,0;1090,0;0,0;0,0;0,0;0,0;0,0;0,0
sp.A.x;1079409,0;611708,0;489172,0;255020,0;156683,0;91062,0;0,0;0,0;0,0;0,0;0,0;0,0
sp.W.x;705879,0;603687,0;225183,0;154916,0;59526,0;19895,0;0,0;0,0;0,0;0,0;0,0;0,0
ua.A.x;865481,0;312004,0;140536,0;86427,0;61869,0;21169,0;2964,0;0,0;0,0;0,0;0,0;0,0
ua.W.x;522405,0;402064,0;503016,0;336038,0;199093,0;10529,0;1040,0;204,0;0,0;0,0;0,0;0,0
