App;4;8;16;32;64;128;256;512;1024
bt.A.x;0,388577;0,579855;0,803296;0,910581;0,912968;0,912969;0,912969;0,912969;0,912969
bt.W.x;0,538087;0,843716;1,171999;1,327996;1,329727;1,329727;1,329727;1,329727;1,329727
cg.A.x;0,283062;0,499139;0,855324;1,085081;1,0884;1,0884;1,0884;1,0884;1,0884
cg.W.x;0,354121;0,603808;1,008613;1,248949;1,251596;1,251596;1,251596;1,251596;1,251596
ep.A.x;0,495723;0,744363;0,925429;0,969891;0,966333;0,966333;0,966333;0,966333;0,966333
ep.W.x;0,495723;0,744363;0,925429;0,969891;0,966333;0,966333;0,966333;0,966333;0,966333
ft.A.x;0,24107;0,28863;0,340108;0,363038;0,36274;0,36274;0,36274;0,36274;0,36274
ft.W.x;0,538618;0,908111;1,493897;1,615208;1,617517;1,617517;1,617517;1,617517;1,617517
is.A.x;0,34919;0,511119;0,718992;0,760225;0,767889;0,767889;0,767889;0,767889;0,767889
is.W.x;0,490139;0,759862;1,145189;1,284504;1,293157;1,293157;1,293157;1,293157;1,293157
lu.A.x;0,399623;0,605284;0,858829;0,985719;0,997849;0,997849;0,997849;0,997849;0,997849
lu.W.x;0,463389;0,716805;1,036907;1,166064;1,179046;1,178933;1,178933;1,178933;1,178933
mg.A.x;0,30056;0,467568;0,678519;0,72394;0,723088;0,723146;0,723146;0,723146;0,723146
mg.W.x;0,377432;0,522431;0,711035;0,86908;0,949854;0,949854;0,949854;0,949854;0,949854
sp.A.x;0,392912;0,573832;0,775216;0,879144;0,865173;0,865173;0,865173;0,865173;0,865173
sp.W.x;0,458091;0,698291;0,943292;1,113417;1,125577;1,125577;1,125577;1,125577;1,125577
ua.A.x;0,51153;0,803085;1,022526;1,140333;1,146276;1,146236;1,146236;1,146236;1,146236
ua.W.x;0,454576;0,64786;0,850125;1,020726;1,064823;1,064753;1,064753;1,064753;1,064753
